Institución_De_Educación_Superior_(Ies),Programa_Académico,Modalidad,Matriculados
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA MECÁNICA Y MECATRÓNICA,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN INGENIERÍA - INGENIERÍA MECÁNICA Y MECATRÓNICA,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN ESTUDIOS URBANOS Y TERRITORIALES,Presencial,11
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN ESTUDIOS URBANOS Y TERRITORIALES,Presencial,9
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN ESTUDIOS URBANOS Y TERRITORIALES,Presencial,10
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN ESTUDIOS URBANOS Y TERRITORIALES,Presencial,9
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIA Y TECNOLOGIA DE ALIMENTOS,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIA Y TECNOLOGIA DE ALIMENTOS,Presencial,6
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIA Y TECNOLOGIA DE ALIMENTOS,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - ESTRUCTURAS,Presencial,12
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - ESTRUCTURAS,Presencial,7
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - ESTRUCTURAS,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - ESTRUCTURAS,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - MATEMÁTICAS,Presencial,12
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - MATEMÁTICAS,Presencial,12
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - MATEMÁTICAS,Presencial,1
