Institución_De_Educación_Superior_(Ies),Programa_Académico,Modalidad,Matriculados
UNIVERSIDAD DE ANTIOQUIA,INGENIERIA SANITARIA,Presencial,49
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,245
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,240
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,289
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,288
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,9
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,9
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,11
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,13
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,19
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,17
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,17
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,16
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,29
UNIVERSIDAD DE ANTIOQUIA,BIOLOGIA,Presencial,17
UNIVERSIDAD DE ANTIOQUIA,FISICA,Presencial,313
UNIVERSIDAD DE ANTIOQUIA,FISICA,Presencial,332
UNIVERSIDAD DE ANTIOQUIA,FISICA,Presencial,81
UNIVERSIDAD DE ANTIOQUIA,FISICA,Presencial,81
UNIVERSIDAD DE ANTIOQUIA,MATEMATICAS,Presencial,150
UNIVERSIDAD DE ANTIOQUIA,MATEMATICAS,Presencial,123
UNIVERSIDAD DE ANTIOQUIA,MATEMATICAS,Presencial,60
UNIVERSIDAD DE ANTIOQUIA,MATEMATICAS,Presencial,57
UNIVERSIDAD DE ANTIOQUIA,MATEMATICAS,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,MATEMATICAS,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MATEMATICAS,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,MATEMATICAS,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,QUIMICA,Presencial,211
UNIVERSIDAD DE ANTIOQUIA,QUIMICA,Presencial,215
UNIVERSIDAD DE ANTIOQUIA,QUIMICA,Presencial,254
UNIVERSIDAD DE ANTIOQUIA,QUIMICA,Presencial,251
UNIVERSIDAD DE ANTIOQUIA,QUIMICA FARMACEUTICA,Presencial,196
UNIVERSIDAD DE ANTIOQUIA,QUIMICA FARMACEUTICA,Presencial,201
UNIVERSIDAD DE ANTIOQUIA,QUIMICA FARMACEUTICA,Presencial,368
UNIVERSIDAD DE ANTIOQUIA,QUIMICA FARMACEUTICA,Presencial,383
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN CIRUGIA GENERAL,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN CIRUGIA GENERAL,Presencial,14
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN CIRUGIA GENERAL,Presencial,15
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN DERMATOLOGIA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN DERMATOLOGIA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN GINECOLOGIA Y OBSTETRICIA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN GINECOLOGIA Y OBSTETRICIA,Presencial,15
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN MEDICINA FISICA Y REHABILITACION,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN MEDICINA FISICA Y REHABILITACION,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN MEDICINA INTERNA,Presencial,30
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN MEDICINA INTERNA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN NEFROLOGIA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN NEUROCIRUGIA,Presencial,13
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN NEUROCIRUGIA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN NEUROLOGIA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN NEUROLOGIA,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN OFTALMOLOGIA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN OFTALMOLOGIA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN ORTOPEDIA Y TRAUMATOLOGIA,Presencial,12
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN ORTOPEDIA Y TRAUMATOLOGIA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN PATOLOGIA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN PATOLOGIA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN PEDIATRIA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN PEDIATRIA,Presencial,30
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN PSIQUIATRIA,Presencial,13
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN PSIQUIATRIA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN RADIOLOGIA,Presencial,15
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN RADIOLOGIA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS QUIMICAS,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS QUIMICAS,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS QUIMICAS,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS QUIMICAS,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN EDUCACION,Presencial,28
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN EDUCACION,Presencial,38
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN EDUCACION,Presencial,43
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN EDUCACION,Presencial,48
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN REUMATOLOGIA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN REUMATOLOGIA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN UROLOGIA,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN UROLOGIA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN CIRUGIA PLASTICA MAXILOFACIAL Y DE LA MANO,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION CLINICA EN ODONTOLOGIA INTEGRAL DEL ADULTO,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION CLINICA EN ODONTOLOGIA INTEGRAL DEL ADULTO,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION CLINICA EN ODONTOLOGIA INTEGRAL DEL ADULTO,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION CLINICA EN ODONTOLOGIA INTEGRAL DEL ADULTO,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN ADMINISTRACION DE SERVICIOS DE SALUD,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN ADMINISTRACION DE SERVICIOS DE SALUD,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN ADMINISTRACION DE SERVICIOS DE SALUD,Presencial,16
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN ADMINISTRACION DE SERVICIOS DE SALUD,Presencial,14
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN ANESTESIOLOGÍA Y REANIMACIÓN,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN ANESTESIOLOGÍA Y REANIMACIÓN,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN EVALUACION SOCIO - ECONOMICA DE PROYECTOS,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN EVALUACION SOCIO - ECONOMICA DE PROYECTOS,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN EVALUACION SOCIO - ECONOMICA DE PROYECTOS,Presencial,22
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN EVALUACION SOCIO - ECONOMICA DE PROYECTOS,Presencial,18
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN LOGISTICA INTEGRAL,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN LOGISTICA INTEGRAL,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN SALUD PUBLICA,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN SALUD PUBLICA,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN SALUD PUBLICA,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN SALUD PUBLICA,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN EPIDEMIOLOGIA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN EPIDEMIOLOGIA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN EPIDEMIOLOGIA,Presencial,14
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN EPIDEMIOLOGIA,Presencial,12
UNIVERSIDAD DE ANTIOQUIA,ADMINISTRACION EN SALUD: ENFASIS EN GESTION DE SERVICIOS DE SALUD Y  ENFASIS EN GESTION SANITARIA Y AMBIENTAL,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,ADMINISTRACION EN SALUD: ENFASIS EN GESTION DE SERVICIOS DE SALUD Y  ENFASIS EN GESTION SANITARIA Y AMBIENTAL,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,ADMINISTRACION EN SALUD: ENFASIS EN GESTION DE SERVICIOS DE SALUD Y  ENFASIS EN GESTION SANITARIA Y AMBIENTAL,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,ADMINISTRACION EN SALUD: ENFASIS EN GESTION DE SERVICIOS DE SALUD Y  ENFASIS EN GESTION SANITARIA Y AMBIENTAL,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN SALUD COLECTIVA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN SALUD COLECTIVA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN SALUD COLECTIVA,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN SALUD COLECTIVA,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIA POLITICA,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIA POLITICA,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIA POLITICA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIA POLITICA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIA POLITICA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIA POLITICA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIA POLITICA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIA POLITICA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN FILOSOFIA,Presencial,11
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN FILOSOFIA,Presencial,13
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN FILOSOFIA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN FILOSOFIA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN LINGÜISTICA,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN LINGÜISTICA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN LINGÜISTICA,Presencial,17
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN LINGÜISTICA,Presencial,12
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN LINGÜISTICA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN LINGÜISTICA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN LINGÜISTICA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN LINGÜISTICA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN INGENIERIA AMBIENTAL,Presencial,17
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN INGENIERIA AMBIENTAL,Presencial,16
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN INGENIERIA AMBIENTAL,Presencial,21
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN INGENIERIA AMBIENTAL,Presencial,20
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN BIOLOGIA,Presencial,17
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN BIOLOGIA,Presencial,21
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN BIOLOGIA,Presencial,41
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN BIOLOGIA,Presencial,46
UNIVERSIDAD DE ANTIOQUIA,INGENIERÍA DE SISTEMAS,Virtual,531
UNIVERSIDAD DE ANTIOQUIA,INGENIERÍA DE SISTEMAS,Virtual,570
UNIVERSIDAD DE ANTIOQUIA,INGENIERÍA DE SISTEMAS,Virtual,148
UNIVERSIDAD DE ANTIOQUIA,INGENIERÍA DE SISTEMAS,Virtual,165
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS ANIMALES,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS ANIMALES,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS ANIMALES,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS ANIMALES,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN FISICA,Presencial,21
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN FISICA,Presencial,21
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN FISICA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN FISICA,Presencial,9
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN HISTORIA,Presencial,12
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN HISTORIA,Presencial,19
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN HISTORIA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN HISTORIA,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN LITERATURA,Presencial,15
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN LITERATURA,Presencial,14
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN LITERATURA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN LITERATURA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIAS BASICAS BIOMEDICAS,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIAS BASICAS BIOMEDICAS,Presencial,9
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIAS BASICAS BIOMEDICAS,Presencial,18
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN CIENCIAS BASICAS BIOMEDICAS,Presencial,14
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN FILOSOFIA,Presencial,23
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN FILOSOFIA,Presencial,13
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN FILOSOFIA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN FILOSOFIA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN MEDICINA VASCULAR,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN ESTUDIOS SOCIOESPACIALES,Presencial,9
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN ESTUDIOS SOCIOESPACIALES,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN ESTUDIOS SOCIOESPACIALES,Presencial,12
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN ESTUDIOS SOCIOESPACIALES,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN ANTROPOLOGÍA,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN ANTROPOLOGÍA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN ANTROPOLOGÍA,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN ANTROPOLOGÍA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN OTORRINOLARINGOLOGIA Y CIRUGIA DE CABEZA Y CUELLO,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN ECONOMIA,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN ECONOMIA,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN ECONOMIA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN ECONOMIA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,INGENIERIA INDUSTRIAL,Presencial,321
UNIVERSIDAD DE ANTIOQUIA,INGENIERIA INDUSTRIAL,Presencial,327
UNIVERSIDAD DE ANTIOQUIA,INGENIERIA INDUSTRIAL,Presencial,281
UNIVERSIDAD DE ANTIOQUIA,INGENIERIA INDUSTRIAL,Presencial,261
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN INGENIERIA,Presencial,34
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN INGENIERIA,Presencial,37
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN INGENIERIA,Presencial,15
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN INGENIERIA,Presencial,22
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN EPIDEMIOLOGÍA CLÍNICA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN EPIDEMIOLOGÍA CLÍNICA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN EPIDEMIOLOGÍA CLÍNICA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN EPIDEMIOLOGÍA CLÍNICA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS FARMACÉUTICAS Y ALIMENTARIAS,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS FARMACÉUTICAS Y ALIMENTARIAS,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS FARMACÉUTICAS Y ALIMENTARIAS,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS FARMACÉUTICAS Y ALIMENTARIAS,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,TRABAJO SOCIAL,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACIÓN EN ENDOCRINOLOGÍA PEDIÁTRICA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,TECNOLOGIA EN SANEAMIENTO AMBIENTAL,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,TECNOLOGIA EN SANEAMIENTO AMBIENTAL,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACIÓN EN FINANZAS,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACIÓN EN FINANZAS,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACIÓN EN FINANZAS,Presencial,11
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACIÓN EN FINANZAS,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN SALUD PÚBLICA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN SALUD PÚBLICA,Presencial,8
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN SALUD PÚBLICA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN SALUD PÚBLICA,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACIÓN EN EDICIÓN DE PUBLICACIONES,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN FISICA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN FISICA,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN FISICA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN FISICA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN MANEJO Y GESTION DEL AGUA,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN MANEJO Y GESTION DEL AGUA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN MANEJO Y GESTION DEL AGUA,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,ESPECIALIZACION EN MANEJO Y GESTION DEL AGUA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN CIENCIAS DE LA ALIMENTACIÓN Y NUTRICIÓN HUMANA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN CIENCIAS DE LA ALIMENTACIÓN Y NUTRICIÓN HUMANA,Presencial,2
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN CIENCIAS DE LA ALIMENTACIÓN Y NUTRICIÓN HUMANA,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN CIENCIAS DE LA ALIMENTACIÓN Y NUTRICIÓN HUMANA,Presencial,12
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS SOCIALES,Presencial,12
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS SOCIALES,Presencial,12
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS SOCIALES,Presencial,18
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN CIENCIAS SOCIALES,Presencial,15
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN PSICOLOGÍA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN PSICOLOGÍA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN PSICOLOGÍA,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ENTRENAMIENTO DEPORTIVO,Presencial,253
UNIVERSIDAD DE ANTIOQUIA,ENTRENAMIENTO DEPORTIVO,Presencial,249
UNIVERSIDAD DE ANTIOQUIA,ENTRENAMIENTO DEPORTIVO,Presencial,35
UNIVERSIDAD DE ANTIOQUIA,ENTRENAMIENTO DEPORTIVO,Presencial,38
UNIVERSIDAD DE ANTIOQUIA,ASTRONOMÍA,Presencial,235
UNIVERSIDAD DE ANTIOQUIA,ASTRONOMÍA,Presencial,225
UNIVERSIDAD DE ANTIOQUIA,ASTRONOMÍA,Presencial,136
UNIVERSIDAD DE ANTIOQUIA,ASTRONOMÍA,Presencial,134
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN INGENIERÍA DE TELECOMUNICACIONES,Presencial,9
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN INGENIERÍA DE TELECOMUNICACIONES,Presencial,11
UNIVERSIDAD DE ANTIOQUIA,TECNOLOGÍA EN ADMINISTRACIÓN DE SERVICIOS DE SALUD,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,TECNOLOGÍA EN ADMINISTRACIÓN DE SERVICIOS DE SALUD,Presencial,11
UNIVERSIDAD DE ANTIOQUIA,TECNOLOGÍA EN ADMINISTRACIÓN DE SERVICIOS DE SALUD,Presencial,29
UNIVERSIDAD DE ANTIOQUIA,TECNOLOGÍA EN ADMINISTRACIÓN DE SERVICIOS DE SALUD,Presencial,50
UNIVERSIDAD DE ANTIOQUIA,ARTE DRAMATICO,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,ARTE DRAMATICO,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN ENSEÑANZA Y APRENDIZAJE DE LENGUAS EXTRANJERAS,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN ENSEÑANZA Y APRENDIZAJE DE LENGUAS EXTRANJERAS,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN ENSEÑANZA Y APRENDIZAJE DE LENGUAS EXTRANJERAS,Presencial,4
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN ENSEÑANZA Y APRENDIZAJE DE LENGUAS EXTRANJERAS,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN BIOTECNOLOGÍA,Presencial,9
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN BIOTECNOLOGÍA,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN BIOTECNOLOGÍA,Presencial,19
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN BIOTECNOLOGÍA,Presencial,12
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN ARTES,Presencial,7
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN ARTES,Presencial,10
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN ARTES,Presencial,18
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN ARTES,Presencial,19
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN SALUD MENTAL,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN SALUD MENTAL,Presencial,1
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN SALUD MENTAL,Presencial,6
UNIVERSIDAD DE ANTIOQUIA,MAESTRÍA EN SALUD MENTAL,Presencial,5
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN ENFERMERÍA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN ENFERMERÍA,Presencial,3
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN ENFERMERÍA,Presencial,9
UNIVERSIDAD DE ANTIOQUIA,DOCTORADO EN ENFERMERÍA,Presencial,11
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN GESTIÓN AMBIENTAL,Presencial,11
UNIVERSIDAD DE ANTIOQUIA,MAESTRIA EN GESTIÓN AMBIENTAL,Presencial,11
